paper_doi,paper_key,table_id,row_idx,column_name,parameter_id,value,unit,caption,conditions_json
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,12,Scaled Module Volume (gal),cmduprk18000dg3nc7daetmui,9000,gal,,"{""Major Process Unit"":""Settling Tank"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 50,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.5"",""Scaled Module Cost ($)"":""$ 150,000"",""Weekly Run Time (hr)"":""168"",""Duty Modules (qty)"":""0.8"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""3.3"",""Total Scaled Capital Costs ($)"":""$ 7 5,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""1,299""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,13,Standard Volume (gal),cmduprk18000dg3nc7daetmui,12000,gal,,"{""Major Process Unit"":""Solids Disposal"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""0.5"",""Duty Modules (qty)"":""1.0"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.3"",""Total Scaled Capital Costs ($)"":""$ 2 ,500"",""Total Scaled Annual Usage (kW-hr/yr)"":""0.39""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,13,Module Unit Power (hp),cme1qmy6n008xlllgn3t1ijkj,0.2,hp,,"{""Major Process Unit"":""Solids Disposal"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""0.5"",""Duty Modules (qty)"":""1.0"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.3"",""Total Scaled Capital Costs ($)"":""$ 2 ,500"",""Total Scaled Annual Usage (kW-hr/yr)"":""0.39""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,13,Flow Rate (gpd),cme1qoa9x00q6lllgm2qj3hx8,180,gpd,,"{""Major Process Unit"":""Solids Disposal"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""0.5"",""Duty Modules (qty)"":""1.0"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.3"",""Total Scaled Capital Costs ($)"":""$ 2 ,500"",""Total Scaled Annual Usage (kW-hr/yr)"":""0.39""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,13,HRT (days),cme1qondh00uxlllg6kh5gl1a,7,days,,"{""Major Process Unit"":""Solids Disposal"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""0.5"",""Duty Modules (qty)"":""1.0"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.3"",""Total Scaled Capital Costs ($)"":""$ 2 ,500"",""Total Scaled Annual Usage (kW-hr/yr)"":""0.39""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,13,Calculated Min. Volume (gal),cmduprk18000dg3nc7daetmui,1258,gal,,"{""Major Process Unit"":""Solids Disposal"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""0.5"",""Duty Modules (qty)"":""1.0"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.3"",""Total Scaled Capital Costs ($)"":""$ 2 ,500"",""Total Scaled Annual Usage (kW-hr/yr)"":""0.39""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,13,Scaled Module Volume (gal),cmduprk18000dg3nc7daetmui,1200,gal,,"{""Major Process Unit"":""Solids Disposal"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""0.5"",""Duty Modules (qty)"":""1.0"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.3"",""Total Scaled Capital Costs ($)"":""$ 2 ,500"",""Total Scaled Annual Usage (kW-hr/yr)"":""0.39""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,15,Standard Volume (gal),cmduprk18000dg3nc7daetmui,12000,gal,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Gray"",""Major Process Unit"":""GW Holding"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.2"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.5"",""Total Scaled Capital Costs ($)"":""$ 5 ,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""203"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,15,Module Unit Power (hp),cme1qmy6n008xlllgn3t1ijkj,0.5,hp,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Gray"",""Major Process Unit"":""GW Holding"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.2"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.5"",""Total Scaled Capital Costs ($)"":""$ 5 ,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""203"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,15,Flow Rate (gpd),cme1qoa9x00q6lllgm2qj3hx8,4463,gpd,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Gray"",""Major Process Unit"":""GW Holding"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.2"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.5"",""Total Scaled Capital Costs ($)"":""$ 5 ,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""203"",""Energy Recovery (kWh/yr)"":""-""}"
